rank,actor1,actor2,actor3,actor4
218,Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant
219,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman
220,Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore
221,Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter
222,George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence
223,Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith
224,Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda
225,George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane
226,Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt
227,Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes
228,Sam Neill, William H. Macy, T_a Leoni, Alessandro Nivola
229,Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins
230,Tom Cruise, Jon Voight, Emmanuelle B_art, Henry Czerny
231,Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll
232,Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan
233,Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith
234,Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am
235,Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri
236,Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards
237,Will Smith, Eva Mendes, Kevin James, Amber Valletta
238,Will Smith, Walter F. Parkes, Barry Sonnenfeld, Nicole Scherzinger
239,Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander
240,Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez
241,Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria
242,Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman
243,Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson
244,Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings
245,Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones
246,Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove
247,Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans
248,Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic
249,Matt Damon, Franka Potente, Brian Cox, Julia Stiles
250,Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford
251,Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes
252,Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow
253,Paul Hogan, Linda Kozlowski, John Meillon, David Gulpilil
254,Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise
255,Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara
256,Will Ferrell, James Caan, Bob Newhart, Edward Asner
257,Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean
258,Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson
259,Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen
260,Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites
261,Joseph Kosinski 
262,Hugh Jackman, Michelle Williams, Zac Efron, Zendaya
263,Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving
264,Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin
265,Brian Blessed, Glenn Close, Minnie Driver, Tony Goldwyn
266,Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer
267,Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Ren_e Zellweger
268,Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer
269,Adam Sandler, Andy Samberg, Selena Gomez, Kevin James
270,Taraji P. Henson, Octavia Spencer, Janelle Monˆe, Kevin Costner
271,Kristen Wiig, Terry Crews, Maya Rudolph, Tom Yi
272,Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench
273,Tim Allen, John Travolta, Martin Lawrence, William H. Macy
274,Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly
275,Jonathan Biggins, Drew Forsythe, Phillip Scott 275, 
276,Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry
277,Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench
278,Robert De Niro, Ben Stiller, Teri Polo, Blythe Danner
279,Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford
280,John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton
281,Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater
282,Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman
283,Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta
284,Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen
285,Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson
286,Will Smith, Jaden Smith, Thandie Newton, Brian Howe
287,Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse
288,Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng
289,Antonio Banderas, Eric Bauza, Tim Conway, Eddie Deezen
290,Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken
291,Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington
292,Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere
293,Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel
294,Adam Sandler, Kevin James, Chris Rock, David Spade
