rank,title,studio,box_office,year
335,G.I. Joe: The Rise of Cobra,Par.,150201498,2009
336,Neighbors,Uni.,150157400,2014
337,American Hustle,Sony,150117807,2013
338,Puss in Boots,P/DW,149260504,2011
339,Les Miserables&y=2012,Uni.,148809770,2012
340,Knocked Up,Uni.,148768917,2007
341,As Good as It Gets,Sony,148478011,1997
342,Little Fockers,Uni.,148438600,2010
343,Megamind,P/DW,148415853,2010
344,Hotel Transylvania,Sony,148313048,2012
345,Talladega Nights: The Ballad of Ricky Bobby,Sony,148213377,2006
346,Gran Torino,WB,148095302,2008
347,Lethal Weapon 2,WB,147253986,1989
348,War for the Planet of the Apes,Fox,146880162,2017
349,X-Men: First Class,Fox,146408305,2011
350,Paul Blart: Mall Cop,Sony,146336178,2009
351,True Lies,Fox,146282411,1994
352,Lilo & Stitch,BV,145794338,2002
353,American Pie 2,Uni.,145103595,2001
354,Taken,Fox,145000989,2009
355,101 Dalmatians,Dis.,144880014,1961
356,The Great Gatsby&y=2013,WB,144840419,2013
357,The Santa Clause,BV,144833357,1994
358,"I, Robot",Fox,144801023,2004
359,Lethal Weapon 3,WB,144731527,1992
360,The Fast and the Furious,Uni.,144533925,2001
361,Doctor Dolittle,Fox,144156605,1998
362,Mamma Mia!,Uni.,144130063,2008
363,Rio,Fox,143619809,2011
364,Kung Fu Panda 3,Fox,143528619,2016
365,Juno,FoxS,143495265,2007
366,Marley & Me,Fox,143153751,2008
367,The Smurfs,Sony,142614158,2011
368,XXX,SonR,142109382,2002
369,The Jungle Book,Dis.,141843612,1967
370,The Chronicles of Narnia: Prince Caspian,BV,141621490,2008
371,National Lampoon's Animal House,Uni.,141600000,1978
372,Pocahontas,BV,141579773,1995
373,A Few Good Men,Col.,141340178,1992
374,Slumdog Millionaire,FoxS,141319928,2008
375,Rush Hour,NL,141186864,1998
376,The Blair Witch Project,Art.,140539099,1999
377,Deep Impact,Par.,140464664,1998
378,Rush Hour 3,NL,140125968,2007
379,Look Who's Talking,TriS,140088813,1989
380,Stuart Little,Sony,140035367,1999
381,Taken 2,Fox,139854287,2012
382,Sister Act,BV,139605150,1992
383,Matrix Revolutions,WB,139313948,2003
384,The Santa Clause 2,BV,139236327,2002
385,The King's Speech,Wein.,138797449,2010
386,Cheaper by the Dozen,Fox,138614544,2003
387,Bad Boys II,Sony,138608444,2003
388,Platoon,Orion,138530565,1986
389,21 Jump Street,Sony,138447667,2012
390,Good Will Hunting,Mira.,138433435,1997
391,Split,Uni.,138291365,2017
392,A Christmas Carol&y=2009,BV,137855863,2009
393,Dinosaur,BV,137748063,2000
394,The Conjuring,WB (NL),137400141,2013
395,Click,SonR,137355633,2006
396,The Green Mile,WB,136801374,1999
397,Ransom,BV,136492681,1996
398,Godzilla,Sony,136314294,1998
399,101 Dalmatians&y=1996,BV,136189294,1996
400,Argo,WB,136025503,2012
401,Anger Management,SonR,135645823,2003
402,Chicken Little,BV,135386665,2005
403,Teenage Mutant Ninja Turtles,NL,135265915,1990
404,Close Encounters of the Third Kind,Col.,135189114,1977
405,Patch Adams,Uni.,135026902,1998
406,The Godfather,Par.,134966411,1972
407,Ride Along,Uni.,134938200,2014
408,The Incredible Hulk,Uni.,134806913,2008
409,Live Free or Die Hard,Fox,134529403,2007
410,Wanted,Uni.,134508551,2008
411,Identity Thief,Uni.,134506920,2013
412,Superman,WB,134218018,1978
413,The Rock,BV,134069511,1996
414,Mission: Impossible III,Par.,134029801,2006
415,Grown Ups 2,Sony,133668525,2013
416,Troy,WB,133378256,2004
417,Angels & Demons,Sony,133375846,2009
418,Alvin and the Chipmunks: Chipwrecked,Fox,133110742,2011
419,Bringing Down the House,BV,132716677,2003
420,The Wolverine,Fox,132556852,2013
421,Wonder,LGF,132422809,2017
422,The Departed,WB,132384315,2006
423,Hulk,Uni.,132177234,2003
424,Silver Linings Playbook,Wein.,132092958,2012
425,Minority Report,Fox,132072926,2002
426,Fantastic 4: Rise of the Silver Surfer,Fox,131921738,2007
427,The Last Airbender,Par.,131772187,2010
428,Rio 2,Fox,131538435,2014
429,Lara Croft: Tomb Raider,Par.,131168070,2001
430,The Silence of the Lambs,Orion,130742922,1991
431,"Honey, I Shrunk the Kids",BV,130724172,1989
432,The Flintstones,Uni.,130531208,1994
433,Lethal Weapon 4,WB,130444603,1998
434,Get Smart,WB,130319208,2008
435,Insurgent,LG/S,130179072,2015
436,The Peanuts Movie,Fox,130178411,2015
437,Transformers: The Last Knight,Par.,130168683,2017
438,American Gangster,Uni.,130164645,2007
439,American Beauty,DW,130096601,1999
440,An Officer and a Gentleman,Par.,129795554,1982
441,The Ring,DW,129128133,2002
442,The Nutty Professor&y=1996,Uni.,128814019,1996
